epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23756,1.35969,3.13479,1.01888,0.00614,0.94444,0.80348,0.40807,1.51989,3.31959,0.99158,0.08119,0.00019,0.00019
2,11.5759,1.14731,1.10978,1.00693,0.68812,0.85802,0.82811,0.5308,1.42747,3.28031,1.01465,0.0613899,0.000389905,0.000389905
3,15.3177,1.21211,1.13302,1.04381,1,0.29369,0.89954,0.59929,1.23791,2.27588,0.96823,0.0415894,0.000589424,0.000589424
4,19.0499,1.20354,1.17868,1.05513,0.88832,0.8838,0.941,0.522,1.4898,1.01727,1.05536,0.0217883,0.000788265,0.000788265
5,22.6042,1.13238,0.92803,1.00485,0.87146,0.88889,0.95527,0.52407,1.51729,0.88818,1.06743,0.00198614,0.000986136,0.000986136
6,26.1888,1.04631,0.85346,0.9619,0.84212,0.88896,0.93903,0.49736,1.48359,0.8409,1.06101,0.000993906,0.000993906,0.000993906
7,29.8089,1.04065,0.79591,0.98028,0.83291,0.88272,0.92605,0.5351,1.35936,0.82751,1.0313,0.000991232,0.000991232,0.000991232
8,33.2419,1.07352,0.78235,0.9915,0.8837,0.8443,0.93603,0.56656,1.28768,0.7968,0.99738,0.000988079,0.000988079,0.000988079
9,36.8748,0.99714,0.7222,0.99515,0.93559,0.80695,0.92716,0.58094,1.16075,0.78959,0.94442,0.000984449,0.000984449,0.000984449
10,40.3851,1.01313,0.70218,0.97075,0.83794,0.89506,0.936,0.53091,1.40442,0.79339,1.03869,0.000980345,0.000980345,0.000980345
11,43.8501,0.99636,0.70499,0.96059,0.86102,0.90123,0.93405,0.57397,1.27527,0.74613,0.97529,0.000975773,0.000975773,0.000975773
12,47.2282,0.96966,0.67953,0.95648,0.91639,0.87956,0.96001,0.64787,1.12564,0.71698,0.93105,0.000970736,0.000970736,0.000970736
13,50.7288,0.97499,0.63939,0.95225,0.89651,0.90908,0.96176,0.6475,1.0625,0.65305,0.90806,0.000965239,0.000965239,0.000965239
14,54.2083,0.97846,0.65872,0.95369,0.87182,0.94444,0.96711,0.6418,1.13509,0.68439,0.94664,0.000959289,0.000959289,0.000959289
15,57.4261,0.96008,0.6581,0.96349,0.85705,0.96296,0.9711,0.58063,1.27726,0.7139,0.97882,0.000952889,0.000952889,0.000952889
16,60.7206,0.96093,0.6409,0.95829,0.91346,0.84704,0.95643,0.65008,1.09042,0.71927,0.94223,0.000946048,0.000946048,0.000946048
